observer,recorder,date,Transect,Plot,Species,Individual ,leaf1,leaf 1 DTO,leaf2,leaf 2 DTO,leaf3,leaf 3 DTO,leaf4,leaf 4 DTO,leaf5,leaf 5 DTO,leaf6,leaf 6 DTO,tissue sample number ,DTO for collected tissue ,notes
ERS,EAM,4/17/15,1,A,AB,C11,0,NA,0,NA,0,NA,0.1,L,NA,NA,NA,NA,153,L,
ERS,EAM,4/17/15,1,A,AB,C13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,1,A,AB,C15,0.1,K,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,K,
ERS,EAM,4/17/15,1,A,BH,C10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,1,A,BH,C8,0,NA,0,NA,10,R,NA,NA,NA,NA,NA,NA,197,R,"rust-colored damage on leaf edge, transitions to yellow moving in from leaf edge"
ERS,EAM,4/17/15,1,A,BH,C9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,1,A,SP,A860,1,A,0.1,A,0,NA,0.1,A,1,A,1,A,199,A,
ERS,EAM,4/17/15,1,A,SP,A861,5,"A,B",5,A,0.1,A,1,A,1,A,1,A,200,B,smut 
ERS,EAM,4/17/15,1,A,SP,A862,10,"A,B",0,NA,0,NA,0.1,J,1,A,0,NA,201,J,
ERS,EAM,4/17/15,1,C,AB,AB039,0.1,K,0.1,K,0,NA,1,K,0,NA,0,NA,202,K,
ERS,EAM,4/17/15,1,C,AB,AB040,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,1,C,AB,AB041,0,NA,0,NA,25,*,0,NA,0,NA,0,NA,228,* ,"* = brown damage morning in from edge, leaf also has yellow striations"
ERS,EAM,4/17/15,1,C,BH,BH036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/17/15,1,C,BH,BH037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,1,C,BH,BH038,1,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,J,
ERS,EAM,4/17/15,1,C,SP,SP033,5,A,0.1,A,0.1,A,1,A,1,A,0.1,A,261,A,
ERS,EAM,4/17/15,1,C,SP,SP034,1,A,0.1,A,0.1,A,0.1,A,1,A,1,"A,B",265,B,
ERS,EAM,4/17/15,1,C,SP,SP035,0.1,A,0,NA,0,NA,1,A,5,A,0.1,A,267,A,lost tissue piece during plating 
ERS,EAM,4/17/15,1,E,AB,AB044,0.1,K,0,NA,0,NA,1,K,5,G,0,NA,270,G,
ERS,EAM,4/17/15,1,E,AB,AB045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,1,E,AB,AB046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,1,E,BH,BH047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,1,E,BH,BH048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,1,E,BH,BH049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/17/15,1,E,SP,SP042,1,A,0.1,A,0.1,J,0.1,A,1,"A,L",0.1,A,279,J,
ERS,EAM,4/17/15,1,E,SP,SP043,0.1,L,0.1,A,0,NA,0.1,L,0.1,L,1,A,280,L,
ERS,EAM,4/17/15,2,A,PA,PA063,0.1,B,0,NA,0,NA,0,NA,0.1,B,0.1,T,281,B,
ERS,EAM,4/17/15,2,A,PA,PA064,0,NA,0,NA,0,NA,0,NA,5,R,0,NA,282,R,"rust-colored damage on leaf edge, transitions to yellow moving in from leaf edge; could be aging"
ERS,EAM,4/17/15,2,A,PA,PA068,0.1,J,0,NA,0,NA,0,NA,0,NA,0.1,L,283,L,
ERS,EAM,4/17/15,2,C,AB,AB007,0,NA,0,NA,0.1,L,50,R,NA,NA,NA,NA,284,"R rust-colored damage moving in from leaf edge, brown dead tissue at edge",R could be aging
ERS,EAM,4/17/15,2,C,AB,AB008,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,2,C,AB,AB009,0,NA,0.1,L,5,K,NA,NA,NA,NA,NA,NA,286,L,
ERS,EAM,4/17/15,2,C,PA,PA001,0,NA,0,NA,0,NA,0,NA,10,R,5,R,288,R,"could be aging, also may have called this I for other leaves"
ERS,EAM,4/17/15,2,C,PA,PA002,0,NA,0.1,J,0,NA,0,NA,0,NA,0,NA,290,J,
ERS,EAM,4/17/15,2,C,PA,PA003,0,NA,0,NA,0,NA,0,NA,0.1,L,0,NA,292,L,
ERS,EAM,4/17/15,2,C,SP,SP004,25,"A,B",0.1,A,1,A,1,"A,B",0.1,A,1,A,293,B,
ERS,EAM,4/17/15,2,C,SP,SP005,0,NA,0,NA,0.1,A,0,NA,0.1,A,0,NA,297,A,
ERS,EAM,4/17/15,2,C,SP,SP006,0.1,A,0.1,B,0,NA,0,NA,0.1,A,0,NA,305,A,
