observer,recorder,date,Transect,Plot,Species,Individual ,leaf1,leaf 1 DTO,leaf2,leaf 2 DTO,leaf3,leaf 3 DTO,leaf4,leaf 4 DTO,leaf5,leaf 5 DTO,leaf6,leaf 6 DTO,tissue sample number ,DTO for collected tissue ,notes
ERS,EAM,4/17/15,2,E,AB,AB021,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,2,E,AB,AB022,1,G,0,NA,0,NA,1,"G,K",NA,NA,NA,NA,308,G,
ERS,EAM,4/17/15,2,E,AB,AB023,0,NA,0,NA,0,NA,1,K,0.1,K,NA,NA,309,K,
ERS,EAM,4/17/15,2,E,SP,SP018,0.1,A,0.1,A,0.1,A,5,"A,V",1,A,5,"A,B",311,"""V""",polygon with polka dots 
ERS,EAM,4/17/15,2,E,SP,SP019,1,A,5,"A,B",1,A,0.1,A,1,A,1,A,313,A,
ERS,EAM,4/17/15,2,E,SP,SP020,1,A,5,"A,V",5,"A,B",0.1,A,1,A,0.1,A,314,"""V""",polygon with polka dots 
ERS,EAM,4/18/15,3,A,AB,C46,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,not BH as originallt marked and probably AB
ERS,EAM,4/18/15,3,A,AB,C49,5,"K,""B""",0.1,K,0,NA,NA,NA,NA,NA,NA,NA,315,"""B""","""B"" with an orange halo"
ERS,EAM,4/18/15,3,A,AB,C54,1,R,25,R,NA,NA,NA,NA,NA,NA,NA,NA,316,R,rust-colored damage moving in from edge
ERS,EAM,4/18/15,3,A,AB,C55,5,R,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,R,rust-colored damage moving in from leaf edge
ERS,EAM,4/18/15,3,A,BH,C48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,A,BH,C50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,A,SP,C41,1,A,0.1,B,1,A,5,A,1,A,0.1,A,323,B,
ERS,EAM,4/18/15,3,A,SP,C42,1,A,0.1,A,1,A,0.1,A,1,A,1,A,NA,NA,no tissue sample collected from this plant
ERS,EAM,4/18/15,3,A,SP,C47,5,A,5,A,10,A,1,A,10,A,1,A,325,A,"one of Fletcher's plants, a BH, is also labeled C47"
ERS,EAM,4/18/15,3,C,AB,AB209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,G,not found; sampled unmarked plant
ERS,EAM,4/18/15,3,C,AB,AB210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,K,ring without plant; sampled an unmarked plant 
ERS,EAM,4/18/15,3,C,AB,AB211,0.1,K,10,"K,R",NA,NA,NA,NA,NA,NA,NA,NA,339,K,
ERS,EAM,4/18/15,3,C,BH,BH217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,C,BH,BH218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,C,BH,BH219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,C,SP,SP201,5,A,0.1,A,25,"A,B",1,A,5,"A,B",1,A,343,B,not healthy 
ERS,EAM,4/18/15,3,C,SP,SP202,0.1,A,0.1,A,1,A,5,A,1,A,5,A,344,A,
ERS,EAM,4/18/15,3,C,SP,SP208,1,A,1,A.L,5,A,1,A,1,A,1,A,345,L,
ERS,EAM,4/18/15,3,E,AB,AB212,25,R,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,R,rust-colored damage moving in from leaf edge
ERS,EAM,4/18/15,3,E,AB,AB232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/18/15,3,E,AB,AB245,1,"K,R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,R,
ERS,EAM,4/18/15,3,E,BD,BD241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,E,BD,BD242,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,J,
ERS,EAM,4/18/15,3,E,BD,BD243,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,J,
ERS,EAM,4/18/15,3,E,BH,BH230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,E,BH,BH239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,3,E,SP,SP213,1,"A,L",0.1,J,1,"""V""",0.1,"""V""",25,"""V""",0.1,A,355,L,"""V"" like V"
ERS,EAM,4/20/15,4,A,AB,AB267,1,"K,*rust",50,rust,50,"B, rust",NA,NA,NA,NA,NA,NA,356,B,"*rust was orange, tubular shaped"
ERS,EAM,4/20/15,4,A,AB,AB273,0,NA,0.1,K,5,"K,G,R",NA,NA,NA,NA,NA,NA,357,G,
ERS,EAM,4/20/15,4,A,AB,AB274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,A,BH,BH2712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,4,A,BH,BH275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,4,A,BH,BH278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,A,SP,SP071,5,A,0.1,"A,B",1,A,1,A,5,A,0.1,A,362,B,
ERS,EAM,4/20/15,4,A,SP,SP072,5,A,0.1,A,5,A,0.1,"A,L",0.1,A,5,A,363,L,
ERS,EAM,4/20/15,4,A,SP,SP073,0.1,A,0.1,A,10,A,1,A,1,A,1,A,NA,NA,no tissue sample collected from this plant
ERS,EAM,4/20/15,4,C,AB,AB287,50,"R,K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,R,leaf was rolled
ERS,EAM,4/20/15,4,C,AB,AB288,0.1,K,0,NA,0,NA,25,K,NA,NA,NA,NA,366,K,
ERS,EAM,4/20/15,4,C,AB,AB294,10,K,0.1,K,5,K,NA,NA,NA,NA,NA,NA,400,K,
ERS,EAM,4/20/15,4,C,BD,BD289,0.1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,L,
ERS,EAM,4/20/15,4,C,BD,BD300,1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,L,
ERS,EAM,4/20/15,4,C,BD,BD319,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/20/15,4,C,BH,BH290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,C,BH,BH291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/20/15,4,C,BH,BH309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,C,SP,SP077,1,A,0.1,A,0.1,A,0.1,A,5,"A,B",0.1,A,411,B,
ERS,EAM,4/20/15,4,C,SP,SP078,5,A,1,A,1,A,0.1,A,0.1,A,0.1,A,412,A,
ERS,EAM,4/20/15,4,C,SP,SP079,5,A,1,A,0.1,A,0.1,A,5,A,2,A,NA,NA,no tissue sample collected from this plant
ERS,EAM,4/20/15,4,E,AB,AB338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/20/15,4,E,AB,AB339,10,R,0.1,B,NA,NA,NA,NA,NA,NA,NA,NA,415,R,
ERS,EAM,4/20/15,4,E,AB,AB346,0,NA,0,NA,1,R,75,"R,K",NA,NA,NA,NA,416,K,
ERS,EAM,4/20/15,4,E,BD,BD304,0.1,J with a green halo,50,Q,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,was a tissue sample collected?
ERS,EAM,4/20/15,4,E,BD,BD305,10,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,Q,
ERS,EAM,4/20/15,4,E,BD,BD306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,4,E,BH,BH298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,E,BH,BH307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,E,BH,BH341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,4,E,SP,SP082,10,A,1,A,5,"A,B,L",0.1,A,1,"A,B",1,"A,B",423,L,
ERS,EAM,4/18/15,5,A,BD,BD151,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/18/15,5,A,BD,BD152,0.1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,L,
ERS,EAM,4/18/15,5,A,BD,BD153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,K,not found; sampled unmarked plant
ERS,EAM,4/18/15,5,A,BH,BH157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,5,A,BH,BH158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/18/15,5,A,BH,BH159,0,NA,50,"J,R",NA,NA,NA,NA,NA,NA,NA,NA,429,J,
ERS,EAM,4/18/15,5,A,EG,EG154,0.1,S,0.1,S,0.1,S,0.1,"S,V",0,NA,5,"R,L",430,R,R rust-colored damage moving inward from tip of leaf 
ERS,EAM,4/18/15,5,A,EG,EG155,0,NA,0.1,S,0.1,J,0.1,V,1,"V,S",0.1,V,431,S,
ERS,EAM,4/18/15,5,A,EG,EG156,0.1,S,0,NA,1,"V,S,T",0.1,"V,S",1,"S,T",0,NA,432,V,t=rust
ERS,EAM,4/18/15,5,C,AB,AB181,0,NA,5,R,0,NA,0,NA,0,NA,0,NA,433,R,rust-colored damage moving in from leaf edge
ERS,EAM,4/18/15,5,C,BD,BD178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,Q,not found; sampled unmarked plant
ERS,EAM,4/18/15,5,C,BH,BD129,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plant was mislabeled BD129 and is actually a BH
ERS,EAM,4/18/15,5,C,BH,BD180,5,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,J,plant was mislabeled BD180 and is actually a BH
ERS,EAM,4/18/15,5,C,BH,BH175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,5,C,BH,BH176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,5,C,BH,BH177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,5,C,EG,EG172,0.1,B,0.1,J,0.1,S,0.1,R,0.1,S,0.1,S,440,B,
ERS,EAM,4/18/15,5,C,EG,EG173,0.1,S,0.1,S,0.1,S,0.1,S,0.1,S,5,"S,R",441,R,rust-colored damage moving in from leaf edge
ERS,EAM,4/18/15,5,C,EG,EG174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,"""B"" with a dark center",not found; sampled unmarked plant
ERS,EAM,4/18/15,5,C,SP,SP256,1,A,0.1,A,1,A,0.1,A,1,A,0.1,A,443,A,
ERS,EAM,4/18/15,5,E,BD,BD194,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/18/15,5,E,BD,BD195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,J,not found; sampled unmarked plant
ERS,EAM,4/18/15,5,E,BH,BD193,1,"J,L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,J,plant was mislabeled BD193 and is actually a BH
ERS,EAM,4/18/15,5,E,BH,BH185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,Q,not found; sampled unmarked plant
ERS,EAM,4/18/15,5,E,BH,BH186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/18/15,5,E,BH,BH192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/18/15,5,E,EG,EG190,10,"R,S",0.1,S,0.1,S,0.1,J,0.1,J,0.1,"J,L",450,J,
ERS,EAM,4/18/15,5,E,EG,EG191,20,"R,S",0.1,S,0.1,S,0.1,L,0.1,J,0,NA,451,S,*See pics from surveys - R and  I might have been interchanged in some cases
ERS,MEREDITH,4/20/15,6,A,AB,AB226,50,"R,G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,MEREDITH,4/20/15,6,A,AB,AB227,0.1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,453,L,
ERS,MEREDITH,4/20/15,6,A,AB,AB228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,A,BD,BD229,1,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,K,called K but was olive colored
ERS,MEREDITH,4/20/15,6,A,BD,BD238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,MEREDITH,4/20/15,6,A,BD,BD251,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,J,
ERS,MEREDITH,4/20/15,6,A,BH,BH113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,A,BH,BH149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,A,BH,BH237,1,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,R,
ERS,MEREDITH,4/20/15,6,A,EG,EG233,0.1,"L,""S""",1,"S,B",0.1,S,1,"L,R",0.1,S,0.1,"S,R",461,S,
ERS,MEREDITH,4/20/15,6,A,EG,EG234,1,"S,R,B",0.1,"S,B",1,"S,R,B",0.1,L,0.1,S,0.1,"S,B",462,B,
ERS,MEREDITH,4/20/15,6,A,EG,EG235,10,"L,R",0.1,"V,L",1,"L, rust",0.1,S,0.1,"S,B",0.1,S,463,L,
ERS,MEREDITH,4/20/15,6,A,SP,SP236,1,A,0.1,A,1,A,1,A,0.1,A,0.1,A,464,A,
ERS,MEREDITH,4/20/15,6,C,AB,AB121,50,R,0,NA,0,NA,0,NA,0,NA,0,NA,465,R,rust-colored damage moving in from leaf edge
ERS,MEREDITH,4/20/15,6,C,AB,AB137,5,R,0,NA,0,NA,1,B,NA,NA,NA,NA,466,B,
ERS,MEREDITH,4/20/15,6,C,AB,AB141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,MEREDITH,4/20/15,6,C,BD,BD118,1,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,K,
ERS,MEREDITH,4/20/15,6,C,BD,BD119,10,B,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,469,B,
ERS,MEREDITH,4/20/15,6,C,BD,BD120,0.1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,L,
ERS,MEREDITH,4/20/15,6,C,BH,BH140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,C,BH,BH142,5,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,Q,
ERS,MEREDITH,4/20/15,6,C,BH,BH143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,MEREDITH,4/20/15,6,C,EG,EG223,0.1,S,0.1,S,0,NA,5,"S,R",0.1,"J,T,rust",0.1,"J,rust",474,R rust-colored damage moving in from edge,rust was orange 
ERS,MEREDITH,4/20/15,6,C,EG,EG224,0.1,J,5,"J,R*",0,NA,0.1,"J,*",0.1,"L,B",0.1,"L,S",475,L,"*rust was orange, tubular shaped"
ERS,MEREDITH,4/20/15,6,C,EG,EG225,1,"B,rust*",0.1,S,1,"S,R",0.1,B,0.1,S,1,"B,L ",476,B,
ERS,MEREDITH,4/20/15,6,C,SP,SP250,1,A,1,"A,B",10,A,0.1,A,1,A,1,A,477,B,
ERS,MEREDITH,4/20/15,6,E,AB,AB127,50,"R,K",25,R,0,NA,0,NA,NA,NA,NA,NA,480,R,
ERS,MEREDITH,4/20/15,6,E,AB,AB133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,E,AB,AB135,50,"R,J",0.1,K,NA,NA,NA,NA,NA,NA,NA,NA,479,K,
ERS,MEREDITH,4/20/15,6,E,BH,BH128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,E,BH,BH129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,MEREDITH,4/20/15,6,E,BH,BH132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,MEREDITH,4/20/15,6,E,EG,EG240,0.1,S,0,NA,0.1,L,0.1,S,5,"B,S,R",0.1,L,484,L,
ERS,EAM,4/17/15,7,A,PA,PA050,0,NA,5,I,0,NA,0,NA,10,"I,B",0,NA,485,I,*based on pic this dameg tip is I not R 
ERS,EAM,4/17/15,7,A,PA,PA051,0.1,B,0,NA,0,NA,0,NA,0,NA,0,NA,486,B,
ERS,EAM,4/17/15,7,A,PA,PA052,0,NA,1,R,50,I,25,I,0,NA,0,NA,487,I,
ERS,EAM,4/17/15,7,C,AB,AB258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,"""K"" size 2, white center, eye-shaped",not found; sampled unmarked plant
ERS,EAM,4/17/15,7,C,AB,AB317,5,R,0.1,L,0,NA,0,NA,0,NA,0,NA,489,R,rust-colored damage moving in from leaf edge
ERS,EAM,4/17/15,7,C,BH,BH259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,"R rust-colored damage moving down leaf from tip, coloration turns yellow at base-side",not found; sampled unmarked plant
ERS,EAM,4/17/15,7,C,BH,BH260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found; tag found but plant missing 
ERS,EAM,4/17/15,7,C,BH,BH261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,brown smudge at center of leaf ,not found; sampled unmarked plant
ERS,EAM,4/17/15,7,C,PA,PA056,50,R,0,NA,0,NA,0,NA,0,NA,0,NA,493,R,"rust-colored damage on leaf edge, transitions to yellow moving in from leaf edge"
ERS,EAM,4/17/15,7,C,PA,PA057,10,R,0.1,S,0,NA,10,B,0,NA,0,NA,494,S,
ERS,EAM,4/17/15,7,C,PA,PA058,0.1,L,0,NA,0,NA,0.1,R,1,"R,L",0,NA,495,L,
ERS,EAM,4/17/15,7,E,AB,AB271,0.1,K,0,NA,0,NA,0,NA,0,NA,0,NA,496,K,
ERS,EAM,4/17/15,7,E,AB,AB272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/17/15,7,E,AB,AB277,1,R,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,R,rust-colored damage moving in from leaf tip
ERS,EAM,4/17/15,7,E,BH,BH269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,7,E,BH,BH270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/17/15,7,E,BH,BH276,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,7,E,PA,PA067,25,"R,L",0,NA,0,NA,0,NA,0,NA,1,"R,L",502,L,
ERS,EAM,4/20/15,8,A,BD,BD303,25,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,Q,
ERS,EAM,4/20/15,8,A,BD,BD334,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/20/15,8,A,BD,BD345,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,J,
ERS,EAM,4/20/15,8,A,BH,BH293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,8,A,BH,BH295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,8,A,BH,BH320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,8,A,EG,EG096,25,*,10,*,10,"*,B",5,"S,*",25,*,30,"*,B,R",509,B,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,A,EG,EG097,10,"*,L",50,*,0.1,J,0,NA,0,NA,NA,NA,510,J,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,A,EG,EG098,50,*,5,"*,S",0,NA,0.1,*,5,"*,S,R",50,"*,B,R",511,S,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,A,SP,SP093,1,A,0,NA,0.1,A,0.1,A,0.1,A,0.1,A,NA,NA,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,A,SP,SP095,0.1,A,5,A,1,A,1,A,1,"B,L",0.1,A,513,L,
