obs,rec,date,trans,plot,spcode,indiv,leaf1,l1dto,leaf2,l2dto,leaf3,l3dto,leaf4,l4dto,leaf5,l5dto,leaf6,l6dto,notes
ERS,EAM,3/12/15,T1,P1A,AB,C11,0,NA,0,NA,0,NA,0.1,G,0,NA,0,NA,
ERS,EAM,3/12/15,T1,P1A,AB,C13,0.1,D,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1A,AB,C15,0.1,G,5,G,0,NA,0,NA,0,NA,5,G,
ERS,EAM,3/12/15,T1,P1A,BH,C10,0.1,B,0.1,B,0,NA,1,H,0,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1A,BH,C8,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1A,BH,C9,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/11/15,T1,P1A,SP,A860,0,NA,0,NA,5,D,0,NA,0,NA,5,E,
ERS,EAM,3/11/15,T1,P1A,SP,A861,1,A,1,B,1,A,5,B,0,NA,0,NA,
ERS,EAM,3/11/15,T1,P1A,SP,A862,0,NA,0,NA,1,A,0,NA,0,NA,5,C,
ERS,EAM,3/12/15,T1,P1B,AB,AB027,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T1,P1B,AB,AB028,0.1,J,1,J,0,NA,0.1,L,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1B,AB,AB029,0,NA,0,NA,0,NA,0,NA,1,D,0.1,L,
ERS,EAM,3/12/15,T1,P1B,BH,BH030,0.1,J,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1B,BH,BH031,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1B,BH,BH032,1,A,5,A,10,A,5,A,5,A,1,"A,B",
ERS,EAM,3/12/15,T1,P1B,SP,SP024,0.1,J,5,"B,J",5,B,5,"A,B",1,L,0,NA,
ERS,EAM,3/12/15,T1,P1B,SP,SP025,5,B,1,A,5,B,5,B,0.1,L,5,A,
ERS,EAM,3/12/15,T1,P1B,SP,SP026,1,A,5,A,10,A,5,A,5,A,1,"A,B",
ERS,EAM,3/12/15,T1,P1C,AB,AB039,0.1,L,0.1,J,0,NA,0.1,L,5,"L,G",0,NA,
ERS,EAM,3/12/15,T1,P1C,AB,AB040,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
