year,year.f,grass.status,otu.id,taxonomy,abundance,rank
2016,year 2,non-native,64,Coniochaeta cf. hoffmannii,1,30
2016,year 2,non-native,80,unknown Pleosporales,1,16
2016,year 2,non-native,82,Penicillium sp.,1,13
2016,year 2,non-native,83,Neophaeomoniella cf. zymoides,1,18
2016,year 2,non-native,84,Alternaria sp.,1,15
2016,year 2,non-native,85,unknown Ascomycota,1,26
2017,year 3,native,1,Alternaria cf. infectoria,63,1
2017,year 3,native,2,Drechslera sp.,4,10
2017,year 3,native,3,Ramularia cf. proteae,13,2
2017,year 3,native,4,Pyrenophora cf. chaetomioides,7,8
2017,year 3,native,5,Pyrenophora cf. lolii,11,6
2017,year 3,native,6,Keissleriella sp.,9,7
2017,year 3,native,7,Parastagonospora cf. avenae,3,14
2017,year 3,native,8,Pyrenophora cf. tritici-repentis,12,4
2017,year 3,native,10,unknown Pleosporaceae,3,13
2017,year 3,native,11,Stemphylium sp.,1,29
2017,year 3,native,12,unknown Phaeosphaeriaceae,13,3
2017,year 3,native,13,Neoascochyta sp.,3,12
2017,year 3,native,14,Cladosporium sp.,4,9
2017,year 3,native,15,Alternaria cf. eureka,1,33
2017,year 3,native,16,Alternaria sp.,11,5
2017,year 3,native,18,Phaeosphaeria sp.,1,22
2017,year 3,native,22,Nemania cf. serpens,1,19
2017,year 3,native,23,Phaeosphaeria sp.,3,11
2017,year 3,native,24,Epicoccum cf. nigrum,1,18
2017,year 3,native,25,Alternaria cf. thalictrigena,1,32
2017,year 3,native,28,Phaeophlebiopsis sp.,1,31
2017,year 3,native,31,Cladosporium sp.,2,17
2017,year 3,native,36,Phlebia cf. acerina,1,27
2017,year 3,native,40,Loratospora sp.,2,15
2017,year 3,native,54,Loratospora sp.,1,25
2017,year 3,native,55,Loratospora sp.,2,16
2017,year 3,native,94,Helminthosporium sp.,1,28
2017,year 3,native,95,Gilmaniella cf. subornata,1,34
2017,year 3,native,96,Drechslera sp.,1,26
2017,year 3,native,97,Loratospora sp.,1,20
2017,year 3,native,99,Cladosporium cf. antarcticum,1,23
2017,year 3,native,101,Cystostereum cf. heteromorphum,1,21
2017,year 3,native,105,unknown Massarinaceae,1,24
2017,year 3,native,109,Pyrenophora cf. erythrospila,1,30
2017,year 3,non-native,1,Alternaria cf. infectoria,35,1
2017,year 3,non-native,3,Ramularia cf. proteae,12,4
2017,year 3,non-native,4,Pyrenophora cf. chaetomioides,29,2
2017,year 3,non-native,5,Pyrenophora cf. lolii,20,3
2017,year 3,non-native,7,Parastagonospora cf. avenae,1,20
2017,year 3,non-native,10,unknown Pleosporaceae,1,19
2017,year 3,non-native,11,Stemphylium sp.,2,9
2017,year 3,non-native,12,unknown Phaeosphaeriaceae,2,7
2017,year 3,non-native,14,Cladosporium sp.,3,6
2017,year 3,non-native,15,Alternaria cf. eureka,1,11
2017,year 3,non-native,16,Alternaria sp.,4,5
2017,year 3,non-native,18,Phaeosphaeria sp.,1,12
2017,year 3,non-native,21,Parastagonospora cf. cumpignensis,2,8
2017,year 3,non-native,22,Nemania cf. serpens,2,10
2017,year 3,non-native,29,Trametes cf. versicolor,1,13
2017,year 3,non-native,34,unknown Phaeosphaeriaceae,1,15
2017,year 3,non-native,38,Pyrenophora cf. erythrospila,1,17
2017,year 3,non-native,98,Penicillium sp.,1,14
2017,year 3,non-native,100,Chaetomium cf. pseudocochliodes,1,18
2017,year 3,non-native,103,unknown Teratosphaeriaceae,1,16
