year,experiment,plot,subplot,bg.species,competition.density,host,grass.group,nonnative,mean.dam,leaf.i.1,leaf.i.2,leaf.i.3,leaf.i.4,leaf.i.5,leaf.i.6,leaf.s.1,leaf.s.2,leaf.s.3,leaf.s.4,leaf.s.5,leaf.s.6,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,total.density,natdens.s,nondens.s,nonnative.rel,leaves.healthy
2016,competition,competition_2,competition_2,All,1,AB,"non-native
annual",1,0.017,1,1,0,NA,NA,NA,0.05,0.001,0,NA,NA,NA,2,3,0.6666666666666666,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,1
2016,competition,competition_2,competition_2,All,1,BD,"non-native
annual",1,5e-4,0,1,NA,NA,NA,NA,0,0.001,NA,NA,NA,NA,1,2,0.5,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,1
2016,competition,competition_2,competition_2,All,1,BH,"non-native
annual",1,0.017,1,0,1,NA,NA,NA,0.05,0,0.001,NA,NA,NA,2,3,0.6666666666666666,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,1
2016,competition,competition_2,competition_2,All,1,EG,"native
perennial",0,6.666666666666666e-4,0,1,1,NA,NA,NA,0,0.001,0.001,NA,NA,NA,2,3,0.6666666666666666,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,1
2016,competition,competition_2,competition_2,All,1,SP,"native
perennial",0,0.017333333333333333,1,1,1,NA,NA,NA,0.001,0.001,0.05,NA,NA,NA,3,3,1,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,0
2016,competition,competition_2,competition_2,All,1,EG,"native
perennial",0,0.03666666666666667,1,1,1,NA,NA,NA,0.05,0.05,0.01,NA,NA,NA,3,3,1,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,0
2016,competition,competition_2,competition_2,All,1,SP,"native
perennial",0,0.023333333333333334,1,1,1,NA,NA,NA,0.05,0.01,0.01,NA,NA,NA,3,3,1,6,179.77777777777789,185.77777777777789,-0.27634974562323583,-0.20224722804150766,0.9677033492822966,0
2016,competition,competition_4,competition_4,All,1,AB,"non-native
annual",1,0.020333333333333332,1,1,1,NA,NA,NA,0.05,0.01,0.001,NA,NA,NA,3,3,1,5,366,371,-0.29464400943941493,0.23652237414564592,0.9865229110512129,0
2016,competition,competition_4,competition_4,All,1,BH,"non-native
annual",1,0.020333333333333332,1,1,1,NA,NA,NA,0.01,0.001,0.05,NA,NA,NA,3,3,1,5,366,371,-0.29464400943941493,0.23652237414564592,0.9865229110512129,0
2016,competition,competition_4,competition_4,All,1,EG,"native
perennial",0,0.05,1,1,0,NA,NA,NA,0.1,0.05,0,NA,NA,NA,2,3,0.6666666666666666,5,366,371,-0.29464400943941493,0.23652237414564592,0.9865229110512129,1
