year,experiment,plot,subplot,host,plant,leaf,infected,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2015,transect,transect_1,transect_1A,AB,1,leaf1f,0,9,17.777777778,1,non-native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1A,AB,2,leaf1f,0,9,17.777777778,1,non-native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1A,AB,3,leaf1f,1,9,17.777777778,1,non-native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1A,BH,4,leaf1f,0,9,17.777777778,1,non-native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1A,SP,5,leaf1f,1,9,17.777777778,0,native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1A,SP,6,leaf1f,1,9,17.777777778,0,native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1A,SP,7,leaf1f,1,9,17.777777778,0,native,26.777777778,1.0290619328114023,-1.1641011606520135
2015,transect,transect_1,transect_1C,AB,8,leaf1f,1,8,275,1,non-native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1C,AB,9,leaf1f,0,8,275,1,non-native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1C,AB,10,leaf1f,0,8,275,1,non-native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1C,BH,11,leaf1f,1,8,275,1,non-native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1C,SP,12,leaf1f,1,8,275,0,native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1C,SP,13,leaf1f,1,8,275,0,native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1C,SP,14,leaf1f,1,8,275,0,native,283,0.7619646477027103,-0.33954134147724757
2015,transect,transect_1,transect_1E,AB,15,leaf1f,1,1,305.55555558,1,non-native,306.55555558,-1.1077163480581338,-0.2415914708704832
2015,transect,transect_1,transect_1E,SP,16,leaf1f,1,1,305.55555558,0,native,306.55555558,-1.1077163480581338,-0.2415914708704832
2015,transect,transect_1,transect_1E,SP,17,leaf1f,1,1,305.55555558,0,native,306.55555558,-1.1077163480581338,-0.2415914708704832
2015,transect,transect_2,transect_2A,PA,18,leaf1f,1,0,7,1,non-native,7,-1.3748136331668257,-1.1986507513481994
2015,transect,transect_2,transect_2A,PA,19,leaf1f,0,0,7,1,non-native,7,-1.3748136331668257,-1.1986507513481994
2015,transect,transect_2,transect_2A,PA,20,leaf1f,1,0,7,1,non-native,7,-1.3748136331668257,-1.1986507513481994
2015,transect,transect_2,transect_2C,AB,21,leaf1f,0,4,357.88888887,1,non-native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,AB,22,leaf1f,0,4,357.88888887,1,non-native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,AB,23,leaf1f,0,4,357.88888887,1,non-native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,PA,24,leaf1f,0,4,357.88888887,1,non-native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,PA,25,leaf1f,0,4,357.88888887,1,non-native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,PA,26,leaf1f,0,4,357.88888887,1,non-native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,SP,27,leaf1f,1,4,357.88888887,0,native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,SP,28,leaf1f,0,4,357.88888887,0,native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2C,SP,29,leaf1f,1,4,357.88888887,0,native,361.88888887,-0.3064244927320577,-0.07383005639529001
2015,transect,transect_2,transect_2E,AB,30,leaf1f,0,10,141.66666666999998,1,non-native,151.66666666999998,1.2961592179200943,-0.7669589583177819
2015,transect,transect_2,transect_2E,AB,31,leaf1f,1,10,141.66666666999998,1,non-native,151.66666666999998,1.2961592179200943,-0.7669589583177819
2015,transect,transect_2,transect_2E,AB,32,leaf1f,0,10,141.66666666999998,1,non-native,151.66666666999998,1.2961592179200943,-0.7669589583177819
2015,transect,transect_2,transect_2E,SP,33,leaf1f,1,10,141.66666666999998,0,native,151.66666666999998,1.2961592179200943,-0.7669589583177819
2015,transect,transect_2,transect_2E,SP,34,leaf1f,1,10,141.66666666999998,0,native,151.66666666999998,1.2961592179200943,-0.7669589583177819
2015,transect,transect_2,transect_2E,SP,35,leaf1f,1,10,141.66666666999998,0,native,151.66666666999998,1.2961592179200943,-0.7669589583177819
2015,transect,transect_3,transect_3A,AB,36,leaf1f,0,8,165.000000001,1,non-native,173.000000001,0.7619646477027103,-0.6921608753762983
2015,transect,transect_3,transect_3A,AB,37,leaf1f,1,8,165.000000001,1,non-native,173.000000001,0.7619646477027103,-0.6921608753762983
