year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_2,competition_2,All,1,AB,0.017,2,3,0.6666666666666666,6,206.4444444444446,1,non-native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_2,competition_2,All,1,BD,5e-4,1,2,0.5,6,206.4444444444446,1,non-native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_2,competition_2,All,1,BH,0.017,2,3,0.6666666666666666,6,206.4444444444446,1,non-native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_2,competition_2,All,1,EG,6.666666666666666e-4,2,3,0.6666666666666666,6,206.4444444444446,0,native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_2,competition_2,All,1,SP,0.017333333333333333,3,3,1,6,206.4444444444446,0,native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_2,competition_2,All,1,EG,0.03666666666666667,3,3,1,6,206.4444444444446,0,native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_2,competition_2,All,1,SP,0.023333333333333334,3,3,1,6,206.4444444444446,0,native,212.4444444444446,-0.27634974562323583,-0.18192493779891472
2016,competition,competition_4,competition_4,All,1,AB,0.020333333333333332,3,3,1,5,373.5,1,non-native,378.5,-0.29464400943941493,0.20947335242585197
2016,competition,competition_4,competition_4,All,1,BH,0.020333333333333332,3,3,1,5,373.5,1,non-native,378.5,-0.29464400943941493,0.20947335242585197
2016,competition,competition_4,competition_4,All,1,EG,0.05,2,3,0.6666666666666666,5,373.5,0,native,378.5,-0.29464400943941493,0.20947335242585197
2016,competition,competition_4,competition_4,All,1,SP,0.017333333333333333,3,3,1,5,373.5,0,native,378.5,-0.29464400943941493,0.20947335242585197
2016,competition,competition_4,competition_4,All,1,SP,0.08333333333333334,3,3,1,5,373.5,0,native,378.5,-0.29464400943941493,0.20947335242585197
2016,competition,competition_5,competition_5,All,1,AB,0.006999999999999999,3,3,1,4.5,277,1,non-native,281.5,-0.30379114134750446,-0.016618709469864816
2016,competition,competition_5,competition_5,All,1,BD,3.333333333333333e-4,1,3,0.3333333333333333,4.5,277,1,non-native,281.5,-0.30379114134750446,-0.016618709469864816
2016,competition,competition_5,competition_5,All,1,BH,0.003333333333333333,1,3,0.3333333333333333,4.5,277,1,non-native,281.5,-0.30379114134750446,-0.016618709469864816
2016,competition,competition_5,competition_5,All,1,EG,0.003666666666666667,2,3,0.6666666666666666,4.5,277,0,native,281.5,-0.30379114134750446,-0.016618709469864816
