year,experiment,plot,subplot,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,transect,transect_1,transect_1A,AB,0.001,1,1,1,20,32,1,non-native,52,1.72606524446029,-1.0690585431987896
2016,transect,transect_1,transect_1A,EG,0.004,3,3,1,20,32,0,native,52,1.72606524446029,-1.0690585431987896
2016,transect,transect_1,transect_1A,SP,0.020333333333333332,3,3,1,20,32,0,native,52,1.72606524446029,-1.0690585431987896
2016,transect,transect_1,transect_1A,SP,0.01,3,3,1,20,32,0,native,52,1.72606524446029,-1.0690585431987896
2016,transect,transect_1,transect_1A,SP,0.01,3,3,1,20,32,0,native,52,1.72606524446029,-1.0690585431987896
2016,transect,transect_1,transect_1C,EG,6.666666666666666e-4,2,3,0.6666666666666666,3,329,0,native,332,-1.0323939006231349,-0.2914820844328509
2016,transect,transect_1,transect_1C,SP,0.006999999999999999,3,3,1,3,329,0,native,332,-1.0323939006231349,-0.2914820844328509
2016,transect,transect_1,transect_1C,SP,0.004,3,3,1,3,329,0,native,332,-1.0323939006231349,-0.2914820844328509
2016,transect,transect_1,transect_1C,SP,0.05333333333333333,3,3,1,3,329,0,native,332,-1.0323939006231349,-0.2914820844328509
2016,transect,transect_1,transect_1E,AB,0.0055000000000000005,2,2,1,2,880,1,non-native,882,-1.194656203275101,1.151092423244025
2016,transect,transect_1,transect_1E,SP,0.004,3,3,1,2,880,0,native,882,-1.194656203275101,1.151092423244025
2016,transect,transect_3,transect_3A,AB,0.006999999999999999,3,3,1,10,53.66666666,1,non-native,63.66666666,0.10344221794062831,-1.0123329878629483
2016,transect,transect_3,transect_3A,EG,0.004,3,3,1,10,53.66666666,0,native,63.66666666,0.10344221794062831,-1.0123329878629483
2016,transect,transect_3,transect_3A,SP,0.03666666666666667,3,3,1,10,53.66666666,0,native,63.66666666,0.10344221794062831,-1.0123329878629483
2016,transect,transect_3,transect_3A,SP,0.03666666666666667,3,3,1,10,53.66666666,0,native,63.66666666,0.10344221794062831,-1.0123329878629483
2016,transect,transect_3,transect_3A,SP,0.001,3,3,1,10,53.66666666,0,native,63.66666666,0.10344221794062831,-1.0123329878629483
2016,transect,transect_3,transect_3C,SP,0.003666666666666667,2,3,0.6666666666666666,8,700,0,native,708,-0.22108238736330402,0.6798339633858804
2016,transect,transect_3,transect_3C,SP,0.006999999999999999,3,3,1,8,700,0,native,708,-0.22108238736330402,0.6798339633858804
2016,transect,transect_3,transect_3C,SP,0.003666666666666667,2,3,0.6666666666666666,8,700,0,native,708,-0.22108238736330402,0.6798339633858804
2016,transect,transect_3,transect_3E,EG,0.001,3,3,1,1,656,0,native,657,-1.3569185059270672,0.5646374509761117
2016,transect,transect_3,transect_3E,SP,0.04,3,3,1,1,656,0,native,657,-1.3569185059270672,0.5646374509761117
2016,transect,transect_3,transect_3E,SP,0.004,3,3,1,1,656,0,native,657,-1.3569185059270672,0.5646374509761117
2016,transect,transect_4,transect_4A,EG,0.001,2,2,1,12,61,0,native,73,0.42796682324456065,-0.9931335691105329
2016,transect,transect_4,transect_4A,SP,0.023333333333333334,3,3,1,12,61,0,native,73,0.42796682324456065,-0.9931335691105329
2016,transect,transect_4,transect_4A,SP,0.023333333333333334,3,3,1,12,61,0,native,73,0.42796682324456065,-0.9931335691105329
2016,transect,transect_4,transect_4C,EG,0.004,3,3,1,10,476,0,native,486,0.10344221794062831,0.09337899111796717
2016,transect,transect_4,transect_4C,SP,0.023333333333333334,3,3,1,10,476,0,native,486,0.10344221794062831,0.09337899111796717
2016,transect,transect_4,transect_4C,SP,0.03666666666666667,3,3,1,10,476,0,native,486,0.10344221794062831,0.09337899111796717
2016,transect,transect_4,transect_4C,SP,0.006999999999999999,3,3,1,10,476,0,native,486,0.10344221794062831,0.09337899111796717
2016,transect,transect_4,transect_4E,SP,0.023333333333333334,3,3,1,3,375.33333333,0,native,378.33333333,-1.0323939006231349,-0.1701766660706851
2016,transect,transect_4,transect_4E,SP,3.333333333333333e-4,1,3,0.3333333333333333,3,375.33333333,0,native,378.33333333,-1.0323939006231349,-0.1701766660706851
2016,transect,transect_4,transect_4E,SP,0.003333333333333333,1,3,0.3333333333333333,3,375.33333333,0,native,378.33333333,-1.0323939006231349,-0.1701766660706851
2016,transect,transect_5,transect_5A,EG,0.001,3,3,1,22,65.33333333,0,native,87.33333333,2.050589849764222,-0.9817884580486008
2016,transect,transect_5,transect_5A,EG,0.001,1,1,1,22,65.33333333,0,native,87.33333333,2.050589849764222,-0.9817884580486008
2016,transect,transect_5,transect_5A,EG,0.01,1,1,1,22,65.33333333,0,native,87.33333333,2.050589849764222,-0.9817884580486008
2016,transect,transect_5,transect_5C,EG,0.0055000000000000005,2,2,1,9,147,0,native,156,-0.05882008471133785,-0.7679767494005304
2016,transect,transect_5,transect_5C,EG,6.666666666666666e-4,2,3,0.6666666666666666,9,147,0,native,156,-0.05882008471133785,-0.7679767494005304
2016,transect,transect_5,transect_5C,EG,0.004,3,3,1,9,147,0,native,156,-0.05882008471133785,-0.7679767494005304
2016,transect,transect_5,transect_5C,SP,0.004,3,3,1,9,147,0,native,156,-0.05882008471133785,-0.7679767494005304
2016,transect,transect_5,transect_5C,SP,0.003666666666666667,2,3,0.6666666666666666,9,147,0,native,156,-0.05882008471133785,-0.7679767494005304
2016,transect,transect_5,transect_5E,BD,0.016666666666666666,1,3,0.3333333333333333,0,247.99999996,1,non-native,247.99999996,-1.5191808085790333,-0.5035483914737401
2016,transect,transect_5,transect_5E,EG,0.01,3,3,1,0,247.99999996,0,native,247.99999996,-1.5191808085790333,-0.5035483914737401
2016,transect,transect_5,transect_5E,EG,0.003666666666666667,2,3,0.6666666666666666,0,247.99999996,0,native,247.99999996,-1.5191808085790333,-0.5035483914737401
2016,transect,transect_5,transect_5E,SP,6.666666666666666e-4,2,3,0.6666666666666666,0,247.99999996,0,native,247.99999996,-1.5191808085790333,-0.5035483914737401
2016,transect,transect_6,transect_6A,AB,5e-4,1,2,0.5,16,463.22222222,1,non-native,479.22222222,1.0770160338524253,0.05992545846789814
2016,transect,transect_6,transect_6A,EG,0.017333333333333333,3,3,1,16,463.22222222,0,native,479.22222222,1.0770160338524253,0.05992545846789814
