group,prevalence,scenario,transmission,spillover,description,species,density
species 1,0.3316168297168528,1,dd,0,1: no change,species 1,300
species 2,0,1,dd,0,1: no change,species 1,300
combined,0.16608430240394798,1,dd,0,1: no change,species 1,300
species 1,1.5586101299169553e-6,2,dd,0,2: sp. 1 density,species 1,0
species 1,0.2607927449209486,2,dd,0,2: sp. 1 density,species 1,6.122448979591836
species 1,0.2943246019242544,2,dd,0,2: sp. 1 density,species 1,12.244897959183673
species 1,0.3066561291653196,2,dd,0,2: sp. 1 density,species 1,18.36734693877551
species 1,0.31306378217917646,2,dd,0,2: sp. 1 density,species 1,24.489795918367346
species 1,0.3169895163121507,2,dd,0,2: sp. 1 density,species 1,30.612244897959183
species 1,0.31964124764236274,2,dd,0,2: sp. 1 density,species 1,36.73469387755102
species 1,0.321552660037702,2,dd,0,2: sp. 1 density,species 1,42.857142857142854
species 1,0.32299577862996043,2,dd,0,2: sp. 1 density,species 1,48.97959183673469
species 1,0.3241239236518545,2,dd,0,2: sp. 1 density,species 1,55.10204081632653
species 1,0.3250300641906004,2,dd,0,2: sp. 1 density,species 1,61.224489795918366
species 1,0.3257738630518204,2,dd,0,2: sp. 1 density,species 1,67.3469387755102
species 1,0.3263953479667227,2,dd,0,2: sp. 1 density,species 1,73.46938775510203
species 1,0.3269224277134935,2,dd,0,2: sp. 1 density,species 1,79.59183673469387
species 1,0.32737508033598534,2,dd,0,2: sp. 1 density,species 1,85.71428571428571
species 1,0.3277680020964954,2,dd,0,2: sp. 1 density,species 1,91.83673469387755
species 1,0.32811232536458906,2,dd,0,2: sp. 1 density,species 1,97.95918367346938
species 1,0.3284162960295923,2,dd,0,2: sp. 1 density,species 1,104.08163265306122
species 1,0.32868722537039197,2,dd,0,2: sp. 1 density,species 1,110.20408163265306
species 1,0.32892966871802665,2,dd,0,2: sp. 1 density,species 1,116.3265306122449
species 1,0.3291481593021326,2,dd,0,2: sp. 1 density,species 1,122.44897959183673
species 1,0.329345886287629,2,dd,0,2: sp. 1 density,species 1,128.57142857142856
species 1,0.32952573669640634,2,dd,0,2: sp. 1 density,species 1,134.6938775510204
species 1,0.32969010949111177,2,dd,0,2: sp. 1 density,species 1,140.81632653061223
species 1,0.3298408951151987,2,dd,0,2: sp. 1 density,species 1,146.93877551020407
species 1,0.329979675410006,2,dd,0,2: sp. 1 density,species 1,153.0612244897959
species 1,0.3301078760390091,2,dd,0,2: sp. 1 density,species 1,159.18367346938774
species 1,0.3302266111990361,2,dd,0,2: sp. 1 density,species 1,165.30612244897958
species 1,0.33033692229246614,2,dd,0,2: sp. 1 density,species 1,171.42857142857142
species 1,0.3304396708506626,2,dd,0,2: sp. 1 density,species 1,177.55102040816325
species 1,0.33053560797833587,2,dd,0,2: sp. 1 density,species 1,183.6734693877551
species 1,0.3306253764860914,2,dd,0,2: sp. 1 density,species 1,189.79591836734693
species 1,0.3307095710341725,2,dd,0,2: sp. 1 density,species 1,195.91836734693877
species 1,0.3307886909953951,2,dd,0,2: sp. 1 density,species 1,202.0408163265306
species 1,0.3308631907898479,2,dd,0,2: sp. 1 density,species 1,208.16326530612244
species 1,0.33093341848996555,2,dd,0,2: sp. 1 density,species 1,214.28571428571428
species 1,0.33099976708612516,2,dd,0,2: sp. 1 density,species 1,220.40816326530611
species 1,0.33106258865386645,2,dd,0,2: sp. 1 density,species 1,226.53061224489795
species 1,0.3311220619494914,2,dd,0,2: sp. 1 density,species 1,232.6530612244898
species 1,0.3311785594669437,2,dd,0,2: sp. 1 density,species 1,238.77551020408163
species 1,0.3312321925297484,2,dd,0,2: sp. 1 density,species 1,244.89795918367346
species 1,0.33128322765624346,2,dd,0,2: sp. 1 density,species 1,251.0204081632653
species 1,0.3313318705392225,2,dd,0,2: sp. 1 density,species 1,257.1428571428571
species 1,0.3313782246823613,2,dd,0,2: sp. 1 density,species 1,263.265306122449
species 1,0.33142249704142834,2,dd,0,2: sp. 1 density,species 1,269.3877551020408
species 1,0.33146481008011297,2,dd,0,2: sp. 1 density,species 1,275.51020408163265
species 1,0.3315052831294074,2,dd,0,2: sp. 1 density,species 1,281.63265306122446
species 1,0.3315440442031099,2,dd,0,2: sp. 1 density,species 1,287.7551020408163
species 1,0.3315812534622011,2,dd,0,2: sp. 1 density,species 1,293.87755102040813
species 1,0.3316168297168528,2,dd,0,2: sp. 1 density,species 1,300
species 2,0,2,dd,0,2: sp. 1 density,species 1,0
species 2,0,2,dd,0,2: sp. 1 density,species 1,6.122448979591836
species 2,0,2,dd,0,2: sp. 1 density,species 1,12.244897959183673
species 2,0,2,dd,0,2: sp. 1 density,species 1,18.36734693877551
species 2,0,2,dd,0,2: sp. 1 density,species 1,24.489795918367346
species 2,0,2,dd,0,2: sp. 1 density,species 1,30.612244897959183
species 2,0,2,dd,0,2: sp. 1 density,species 1,36.73469387755102
species 2,0,2,dd,0,2: sp. 1 density,species 1,42.857142857142854
species 2,0,2,dd,0,2: sp. 1 density,species 1,48.97959183673469
species 2,0,2,dd,0,2: sp. 1 density,species 1,55.10204081632653
species 2,0,2,dd,0,2: sp. 1 density,species 1,61.224489795918366
species 2,0,2,dd,0,2: sp. 1 density,species 1,67.3469387755102
species 2,0,2,dd,0,2: sp. 1 density,species 1,73.46938775510203
species 2,0,2,dd,0,2: sp. 1 density,species 1,79.59183673469387
species 2,0,2,dd,0,2: sp. 1 density,species 1,85.71428571428571
species 2,0,2,dd,0,2: sp. 1 density,species 1,91.83673469387755
species 2,0,2,dd,0,2: sp. 1 density,species 1,97.95918367346938
species 2,0,2,dd,0,2: sp. 1 density,species 1,104.08163265306122
species 2,0,2,dd,0,2: sp. 1 density,species 1,110.20408163265306
species 2,0,2,dd,0,2: sp. 1 density,species 1,116.3265306122449
species 2,0,2,dd,0,2: sp. 1 density,species 1,122.44897959183673
species 2,0,2,dd,0,2: sp. 1 density,species 1,128.57142857142856
species 2,0,2,dd,0,2: sp. 1 density,species 1,134.6938775510204
species 2,0,2,dd,0,2: sp. 1 density,species 1,140.81632653061223
species 2,0,2,dd,0,2: sp. 1 density,species 1,146.93877551020407
species 2,0,2,dd,0,2: sp. 1 density,species 1,153.0612244897959
species 2,0,2,dd,0,2: sp. 1 density,species 1,159.18367346938774
species 2,0,2,dd,0,2: sp. 1 density,species 1,165.30612244897958
species 2,0,2,dd,0,2: sp. 1 density,species 1,171.42857142857142
species 2,0,2,dd,0,2: sp. 1 density,species 1,177.55102040816325
species 2,0,2,dd,0,2: sp. 1 density,species 1,183.6734693877551
species 2,0,2,dd,0,2: sp. 1 density,species 1,189.79591836734693
species 2,0,2,dd,0,2: sp. 1 density,species 1,195.91836734693877
species 2,0,2,dd,0,2: sp. 1 density,species 1,202.0408163265306
species 2,0,2,dd,0,2: sp. 1 density,species 1,208.16326530612244
species 2,0,2,dd,0,2: sp. 1 density,species 1,214.28571428571428
species 2,0,2,dd,0,2: sp. 1 density,species 1,220.40816326530611
species 2,0,2,dd,0,2: sp. 1 density,species 1,226.53061224489795
species 2,0,2,dd,0,2: sp. 1 density,species 1,232.6530612244898
species 2,0,2,dd,0,2: sp. 1 density,species 1,238.77551020408163
species 2,0,2,dd,0,2: sp. 1 density,species 1,244.89795918367346
species 2,0,2,dd,0,2: sp. 1 density,species 1,251.0204081632653
