year,experiment,plot,subplot,bg.species,competition.density,native.density,nonnative.density,total.density,natdens.s,nondens.s,year.f
2015,transect,transect_10,transect_10C,NA,NA,0,67.999999997,67.999999997,-1.3712911737963007,-1.000537094697334,2015
2015,transect,transect_10,transect_10E,NA,NA,4,502.00000003,506.00000003,-0.838465282666868,0.3871426911771709,2015
2016,transect,transect_1,transect_1A,NA,NA,20,32,52,1.72606524446029,-1.0690585431987896,2016
2016,transect,transect_1,transect_1C,NA,NA,3,329,332,-1.0323939006231349,-0.2914820844328509,2016
2016,transect,transect_1,transect_1E,NA,NA,2,880,882,-1.194656203275101,1.151092423244025,2016
2016,transect,transect_3,transect_3A,NA,NA,10,53.66666666,63.66666666,0.10344221794062831,-1.0123329878629483,2016
2016,transect,transect_3,transect_3C,NA,NA,8,700,708,-0.22108238736330402,0.6798339633858804,2016
2016,transect,transect_3,transect_3E,NA,NA,1,656,657,-1.3569185059270672,0.5646374509761117,2016
2016,transect,transect_4,transect_4A,NA,NA,12,61,73,0.42796682324456065,-0.9931335691105329,2016
2016,transect,transect_4,transect_4C,NA,NA,10,476,486,0.10344221794062831,0.09337899111796717,2016
2016,transect,transect_4,transect_4E,NA,NA,3,375.33333333,378.33333333,-1.0323939006231349,-0.1701766660706851,2016
2016,transect,transect_5,transect_5A,NA,NA,22,65.33333333,87.33333333,2.050589849764222,-0.9817884580486008,2016
2016,transect,transect_5,transect_5C,NA,NA,9,147,156,-0.05882008471133785,-0.7679767494005304,2016
2016,transect,transect_5,transect_5E,NA,NA,0,247.99999996,247.99999996,-1.5191808085790333,-0.5035483914737401,2016
2016,transect,transect_6,transect_6A,NA,NA,16,463.22222222,479.22222222,1.0770160338524253,0.05992545846789814,2016
2016,transect,transect_6,transect_6C,NA,NA,9,1051,1060,-0.05882008471133785,1.5987879601092623,2016
2016,transect,transect_6,transect_6E,NA,NA,2,1400.00000007,1402.00000007,-1.194656203275101,2.5125057519063763,2016
2016,transect,transect_8,transect_8A,NA,NA,14,105,119,0.7524914285484929,-0.8779370567007642,2016
2016,transect,transect_8,transect_8C,NA,NA,11,704,715,0.2657045205925945,0.6903063736049503,2016
2016,transect,transect_8,transect_8E,NA,NA,2,156.55555556,158.55555556,-1.194656203275101,-0.7429593249766719,2016
2016,competition,competition_2,competition_2,All,1,6,206.4444444444446,212.4444444444446,-0.27634974562323583,-0.18192493779891472,2016
2016,competition,competition_4,competition_4,All,1,5,373.5,378.5,-0.29464400943941493,0.20947335242585197,2016
2016,competition,competition_5,competition_5,All,1,4.5,277,281.5,-0.30379114134750446,-0.016618709469864816,2016
2016,competition,competition_8,competition_8,All,1,7.5,430,437.5,-0.24890834989896715,0.34184849747360324,2016
2016,competition,competition_11,competition_11,All,1,3.5,236.33333333333331,239.83333333333331,-0.32208540516368356,-0.11189757493196313,2016
2016,competition,competition_64,competition_64,AB seed,40,2,264.2222222222222,266.2222222222222,-0.34952680088795224,-0.04655605790740947,2016
2016,competition,competition_68,competition_68,BH seed,20,6,1367,1373,-0.27634974562323583,2.537167274637195,2016
2016,competition,competition_70,competition_70,EG seed,80,35.3333333333333,159,194.33333333333331,0.2602819929846841,-0.2930836141713631,2016
2016,competition,competition_72,competition_72,SP seed,40,11,261,272,-0.18487842654234027,-0.05410547620905102,2016
2016,competition,competition_74,competition_74,EG seed,10,2,175,177,-0.34952680088795224,-0.25559684743217687,2016
2016,competition,competition_80,competition_80,BH seed,10,5,534.4444444444445,539.4444444444445,-0.29464400943941493,0.5865537803544021,2016
2016,competition,competition_81,competition_81,BH seed,100,5,1061.111111111111,1066.111111111111,-0.29464400943941493,1.8204931855192812,2016
2016,competition,competition_82,competition_82,AB seed,100,5,265,270,-0.29464400943941493,-0.04473378452425447,2016
2016,competition,competition_84,competition_84,EG adult,8,11,203.5555555555556,214.5555555555556,-0.18487842654234027,-0.18869338179349027,2016
2016,competition,competition_85,competition_85,EG adult,4,17,109.8888888888889,126.8888888888889,-0.07511284364526562,-0.4081471620791429,2016
2016,competition,competition_86,competition_86,SP seed,10,10,109,119,-0.20317269035851937,-0.41022976023131996,2016
2016,competition,competition_43,competition_43,SP adult,6,11,112,123,-0.18487842654234027,-0.40320099146772254,2016
2016,competition,competition_88,competition_88,EG seed,40,248,61,309,4.150862097892109,-0.5226900604488786,2016
2016,competition,competition_94,competition_94,SP seed,100,16,186.4444444444444,202.4444444444444,-0.09340710746144473,-0.22878339622289795,2016
2016,competition,competition_98,competition_98,AB seed,20,4,131.4444444444444,135.4444444444444,-0.31293827325559403,-0.35764415688885054,2016
