year,experiment,plot,subplot,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,transect,transect_5,transect_5E,BD,0.016666666666666666,1,3,0.3333333333333333,0,194.66666663,1,non-native,194.66666663,-1.5191808085790333,-0.5643982096156777
2016,transect,transect_5,transect_5E,EG,0.01,3,3,1,0,194.66666663,0,native,194.66666663,-1.5191808085790333,-0.5643982096156777
2016,transect,transect_5,transect_5E,EG,0.003666666666666667,2,3,0.6666666666666666,0,194.66666663,0,native,194.66666663,-1.5191808085790333,-0.5643982096156777
2016,transect,transect_5,transect_5E,SP,6.666666666666666e-4,2,3,0.6666666666666666,0,194.66666663,0,native,194.66666663,-1.5191808085790333,-0.5643982096156777
2016,transect,transect_6,transect_6A,AB,5e-4,1,2,0.5,16,392.11111111,1,non-native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,AB,0,0,3,0,16,392.11111111,1,non-native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,EG,0.017333333333333333,3,3,1,16,392.11111111,0,native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,EG,0.004,3,3,1,16,392.11111111,0,native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,EG,0.004,3,3,1,16,392.11111111,0,native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,SP,0.023333333333333334,3,3,1,16,392.11111111,0,native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,SP,0.004,3,3,1,16,392.11111111,0,native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6A,SP,0.03666666666666667,3,3,1,16,392.11111111,0,native,408.11111111,1.0770160338524253,0.00809855795689456
2016,transect,transect_6,transect_6C,AB,0.001,1,1,1,9,1026,1,non-native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6C,AB,0.003333333333333333,1,3,0.3333333333333333,9,1026,1,non-native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6C,EG,0.017333333333333333,3,3,1,9,1026,0,native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6C,EG,0.006999999999999999,3,3,1,9,1026,0,native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6C,EG,0.004,3,3,1,9,1026,0,native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6C,SP,3.333333333333333e-4,1,3,0.3333333333333333,9,1026,0,native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6C,SP,0.03666666666666667,2,3,0.6666666666666666,9,1026,0,native,1035,-0.05882008471133785,1.8460805829535714
2016,transect,transect_6,transect_6E,AB,5e-4,1,2,0.5,2,1133.33333337,1,non-native,1135.33333337,-1.194656203275101,2.157297171340988
2016,transect,transect_6,transect_6E,EG,0.006999999999999999,3,3,1,2,1133.33333337,0,native,1135.33333337,-1.194656203275101,2.157297171340988
2016,transect,transect_6,transect_6E,SP,0.006999999999999999,3,3,1,2,1133.33333337,0,native,1135.33333337,-1.194656203275101,2.157297171340988
2016,transect,transect_6,transect_6E,SP,0.006999999999999999,3,3,1,2,1133.33333337,0,native,1135.33333337,-1.194656203275101,2.157297171340988
2016,transect,transect_8,transect_8A,EG,0.033666666666666664,3,3,1,14,103,0,native,117,0.7524914285484929,-0.830188774035146
2016,transect,transect_8,transect_8A,EG,0.01,3,3,1,14,103,0,native,117,0.7524914285484929,-0.830188774035146
2016,transect,transect_8,transect_8A,EG,0.003666666666666667,2,3,0.6666666666666666,14,103,0,native,117,0.7524914285484929,-0.830188774035146
2016,transect,transect_8,transect_8A,SP,0.02,2,3,0.6666666666666666,14,103,0,native,117,0.7524914285484929,-0.830188774035146
2016,transect,transect_8,transect_8A,SP,3.333333333333333e-4,1,3,0.3333333333333333,14,103,0,native,117,0.7524914285484929,-0.830188774035146
2016,transect,transect_8,transect_8A,SP,3.333333333333333e-4,1,3,0.3333333333333333,14,103,0,native,117,0.7524914285484929,-0.830188774035146
2016,transect,transect_8,transect_8C,EG,0.006999999999999999,3,3,1,11,702,0,native,713,0.2657045205925945,0.9066317512478895
2016,transect,transect_8,transect_8C,EG,0.017333333333333333,3,3,1,11,702,0,native,713,0.2657045205925945,0.9066317512478895
2016,transect,transect_8,transect_8C,EG,0.001,3,3,1,11,702,0,native,713,0.2657045205925945,0.9066317512478895
2016,transect,transect_8,transect_8C,SP,0.004,3,3,1,11,702,0,native,713,0.2657045205925945,0.9066317512478895
2016,transect,transect_8,transect_8C,SP,0.001,3,3,1,11,702,0,native,713,0.2657045205925945,0.9066317512478895
2016,transect,transect_8,transect_8C,SP,0.004,3,3,1,11,702,0,native,713,0.2657045205925945,0.9066317512478895
2016,transect,transect_8,transect_8E,AB,5e-4,1,2,0.5,2,89.88888889,1,non-native,91.88888889,-1.194656203275101,-0.8682048790186426
2016,transect,transect_8,transect_8E,AB,0.01,1,1,1,2,89.88888889,1,non-native,91.88888889,-1.194656203275101,-0.8682048790186426
2016,transect,transect_8,transect_8E,EG,0.003666666666666667,2,3,0.6666666666666666,2,89.88888889,0,native,91.88888889,-1.194656203275101,-0.8682048790186426
2016,transect,transect_8,transect_8E,SP,0.01,3,3,1,2,89.88888889,0,native,91.88888889,-1.194656203275101,-0.8682048790186426
