year,year.f,grass.status,isolates,diversity,lower,upper
2015,year 1,native,91,16.73,11.832,21.123
2015,year 1,non-native,108,16.371,11.38,21.423
2016,year 2,native,261,12.905,9.965,15.716
2016,year 2,non-native,242,10.336,7.983,13.661
2017,year 3,native,182,16.681,12.494,20.771
2017,year 3,non-native,121,9.427,6.891,11.755
