year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_8,competition_8,All,1,SP,0.003666666666666667,2,3,0.6666666666666666,7.5,423.5,0,native,431,-0.25678115121099415,0.2882174497427714
2016,competition,competition_8,competition_8,All,1,EG,0.006666666666666666,2,3,0.6666666666666666,7.5,423.5,0,native,431,-0.25678115121099415,0.2882174497427714
2016,competition,competition_8,competition_8,All,1,SP,0.13333333333333333,3,3,1,7.5,423.5,0,native,431,-0.25678115121099415,0.2882174497427714
2016,competition,competition_11,competition_11,All,1,AB,0.004,3,3,1,3.5,196.33333333333331,1,non-native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_11,competition_11,All,1,BD,0.017,2,3,0.6666666666666666,3.5,196.33333333333331,1,non-native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_11,competition_11,All,1,BH,3.333333333333333e-4,1,3,0.3333333333333333,3.5,196.33333333333331,1,non-native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_11,competition_11,All,1,EG,0.004,3,3,1,3.5,196.33333333333331,0,native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_11,competition_11,All,1,SP,0.017,2,3,0.6666666666666666,3.5,196.33333333333331,0,native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_11,competition_11,All,1,EG,0.006666666666666666,2,3,0.6666666666666666,3.5,196.33333333333331,0,native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_11,competition_11,All,1,SP,0.13333333333333333,3,3,1,3.5,196.33333333333331,0,native,199.83333333333331,-0.3250176639356944,-0.2173622165214174
2016,competition,competition_64,competition_64,AB seed,40,AB,0.006999999999999999,3,3,1,2,233.1111111111111,1,non-native,235.1111111111111,-0.35060635620745706,-0.13550999371219927
2016,competition,competition_64,competition_64,AB seed,40,BH,0,0,1,0,2,233.1111111111111,1,non-native,235.1111111111111,-0.35060635620745706,-0.13550999371219927
2016,competition,competition_64,competition_64,AB seed,40,SP,0.0055000000000000005,2,2,1,2,233.1111111111111,0,native,235.1111111111111,-0.35060635620745706,-0.13550999371219927
2016,competition,competition_64,competition_64,AB seed,40,EG,0.003333333333333333,1,3,0.3333333333333333,2,233.1111111111111,0,native,235.1111111111111,-0.35060635620745706,-0.13550999371219927
2016,competition,competition_64,competition_64,AB seed,40,SP,0.023333333333333334,3,3,1,2,233.1111111111111,0,native,235.1111111111111,-0.35060635620745706,-0.13550999371219927
2016,competition,competition_68,competition_68,BH seed,20,AB,5e-4,1,2,0.5,6,1354,1,non-native,1360,-0.28236984348275673,2.359128144352431
2016,competition,competition_68,competition_68,BH seed,20,BD,0.001,1,1,1,6,1354,1,non-native,1360,-0.28236984348275673,2.359128144352431
2016,competition,competition_68,competition_68,BH seed,20,BH,3.333333333333333e-4,1,3,0.3333333333333333,6,1354,1,non-native,1360,-0.28236984348275673,2.359128144352431
2016,competition,competition_68,competition_68,BH seed,20,EG,0.004,3,3,1,6,1354,0,native,1360,-0.28236984348275673,2.359128144352431
2016,competition,competition_68,competition_68,BH seed,20,EG,0.004,3,3,1,6,1354,0,native,1360,-0.28236984348275673,2.359128144352431
2016,competition,competition_68,competition_68,BH seed,20,SP,0.067,3,3,1,6,1354,0,native,1360,-0.28236984348275673,2.359128144352431
2016,competition,competition_70,competition_70,EG seed,80,AB,0.003666666666666667,2,3,0.6666666666666666,35.3333333333333,150,1,non-native,185.33333333333331,0.21803124983171154,-0.3204811800001
