title,damage-may-2016-transect-competition
authors,"Teri Barry, S. Caroline Daws"
location,transect and competition experiments in Jasper Ridge Biological Preserve
date,20160505 - 20160527
entered-original,JRBP_PathogenDamage_21July2016_Full (more info on this)
,
columns,meaning
Experiment,
Transect,"transect number (1, 3, 4, 5, 6, 8)"
Plot,"plot ID (A, C, E in transect experiment, plot number in competition experiment)"
Treatment,"fungal treatment (fungicide, inoculation, ambient)"
Species,"grass species ID (AB = Avena barbata, BH = Bromus hordeaceus, SP = Stipa pulchra, PA = Phalaris aquatica, BD = Bromus diandrus, EG = Elymus glaucus)"
HostGroup,grass species ID (above) and indicator of whether it was planted as a seed or adult
BackgroundSpecies,background species planted
Density,density of background species planted
Observer,observer of leaf damage (see authors)
DamageDate,date of observation
leaf1,percentage of leaf area damaged
leaf2,percentage of leaf area damaged
leaf3,percentage of leaf area damaged
leaf4,percentage of leaf area damaged
leaf5,percentage of leaf area damaged
leaf6,percentage of leaf area damaged
Rust,indicator if rust is observed 
Notes,
