year,month,experiment,plot,subplot,host,grass.group,nonnative,plant,leaf,infected,surface
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,27,2,1,0.01
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,27,3,1,0.05
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,28,1,1,0.01
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,28,2,1,0.05
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,28,3,1,0.05
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,29,1,1,0.001
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,29,2,1,0.01
2016,NA,transect,transect_4,transect_4C,SP,"native
perennial",0,29,3,1,0.01
2016,NA,transect,transect_4,transect_4E,EG,"native
perennial",0,30,1,0,0
2016,NA,transect,transect_4,transect_4E,EG,"native
perennial",0,30,2,0,0
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,31,1,1,0.01
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,31,2,1,0.05
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,31,3,1,0.01
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,32,1,0,0
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,32,2,0,0
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,32,3,1,0.001
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,33,1,1,0.01
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,33,2,0,0
2016,NA,transect,transect_4,transect_4E,SP,"native
perennial",0,33,3,0,0
2016,NA,transect,transect_5,transect_5A,EG,"native
perennial",0,34,1,1,0.001
2016,NA,transect,transect_5,transect_5A,EG,"native
perennial",0,34,2,1,0.001
2016,NA,transect,transect_5,transect_5A,EG,"native
perennial",0,34,3,1,0.001
2016,NA,transect,transect_5,transect_5A,EG,"native
perennial",0,35,1,1,0.001
2016,NA,transect,transect_5,transect_5A,EG,"native
perennial",0,36,1,1,0.01
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,37,1,1,0.01
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,37,2,1,0.001
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,38,1,1,0.001
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,38,2,0,0
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,38,3,1,0.001
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,39,1,1,0.001
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,39,2,1,0.001
2016,NA,transect,transect_5,transect_5C,EG,"native
perennial",0,39,3,1,0.01
2016,NA,transect,transect_5,transect_5C,SP,"native
perennial",0,40,1,1,0.001
2016,NA,transect,transect_5,transect_5C,SP,"native
perennial",0,40,2,1,0.01
2016,NA,transect,transect_5,transect_5C,SP,"native
perennial",0,40,3,1,0.001
2016,NA,transect,transect_5,transect_5C,SP,"native
perennial",0,41,1,1,0.001
2016,NA,transect,transect_5,transect_5C,SP,"native
perennial",0,41,2,0,0
2016,NA,transect,transect_5,transect_5C,SP,"native
perennial",0,41,3,1,0.01
2016,NA,transect,transect_5,transect_5E,BD,"non-native
annual",1,42,1,1,0.05
2016,NA,transect,transect_5,transect_5E,BD,"non-native
annual",1,42,2,0,0
2016,NA,transect,transect_5,transect_5E,BD,"non-native
annual",1,42,3,0,0
2016,NA,transect,transect_5,transect_5E,EG,"native
perennial",0,43,1,1,0.01
2016,NA,transect,transect_5,transect_5E,EG,"native
perennial",0,43,2,1,0.01
2016,NA,transect,transect_5,transect_5E,EG,"native
perennial",0,43,3,1,0.01
2016,NA,transect,transect_5,transect_5E,EG,"native
perennial",0,44,1,1,0.01
2016,NA,transect,transect_5,transect_5E,EG,"native
perennial",0,44,2,1,0.001
2016,NA,transect,transect_5,transect_5E,EG,"native
perennial",0,44,3,0,0
2016,NA,transect,transect_5,transect_5E,SP,"native
perennial",0,45,1,1,0.001
2016,NA,transect,transect_5,transect_5E,SP,"native
perennial",0,45,2,0,0
2016,NA,transect,transect_5,transect_5E,SP,"native
perennial",0,45,3,1,0.001
2016,NA,transect,transect_6,transect_6A,AB,"non-native
annual",1,46,1,1,0.001
2016,NA,transect,transect_6,transect_6A,AB,"non-native
annual",1,46,2,0,0
2016,NA,transect,transect_6,transect_6A,AB,"non-native
annual",1,47,1,0,0
2016,NA,transect,transect_6,transect_6A,AB,"non-native
annual",1,47,2,0,0
2016,NA,transect,transect_6,transect_6A,AB,"non-native
annual",1,47,3,0,0
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,48,1,1,0.001
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,48,2,1,0.05
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,48,3,1,0.001
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,49,1,1,0.001
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,49,2,1,0.001
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,49,3,1,0.01
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,50,1,1,0.01
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,50,2,1,0.001
2016,NA,transect,transect_6,transect_6A,EG,"native
perennial",0,50,3,1,0.001
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,51,1,1,0.01
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,51,2,1,0.01
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,51,3,1,0.05
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,52,1,1,0.001
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,52,2,1,0.01
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,52,3,1,0.001
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,53,1,1,0.01
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,53,2,1,0.05
2016,NA,transect,transect_6,transect_6A,SP,"native
perennial",0,53,3,1,0.05
2016,NA,transect,transect_6,transect_6C,AB,"non-native
annual",1,54,1,1,0.001
2016,NA,transect,transect_6,transect_6C,AB,"non-native
annual",1,55,1,0,0
2016,NA,transect,transect_6,transect_6C,AB,"non-native
annual",1,55,2,1,0.01
2016,NA,transect,transect_6,transect_6C,AB,"non-native
annual",1,55,3,0,0
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,56,1,1,0.05
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,56,2,1,0.001
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,56,3,1,0.001
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,57,1,1,0.01
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,57,2,1,0.01
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,57,3,1,0.001
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,58,1,1,0.01
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,58,2,1,0.001
2016,NA,transect,transect_6,transect_6C,EG,"native
perennial",0,58,3,1,0.001
2016,NA,transect,transect_6,transect_6C,SP,"native
perennial",0,59,1,0,0
2016,NA,transect,transect_6,transect_6C,SP,"native
perennial",0,59,2,0,0
2016,NA,transect,transect_6,transect_6C,SP,"native
perennial",0,59,3,1,0.001
2016,NA,transect,transect_6,transect_6C,SP,"native
perennial",0,60,1,1,0.1
2016,NA,transect,transect_6,transect_6C,SP,"native
perennial",0,60,2,1,0.01
2016,NA,transect,transect_6,transect_6C,SP,"native
perennial",0,60,3,0,0
2016,NA,transect,transect_6,transect_6E,AB,"non-native
annual",1,61,1,1,0.001
2016,NA,transect,transect_6,transect_6E,AB,"non-native
annual",1,61,2,0,0
2016,NA,transect,transect_6,transect_6E,EG,"native
perennial",0,62,1,1,0.01
2016,NA,transect,transect_6,transect_6E,EG,"native
perennial",0,62,2,1,0.001
2016,NA,transect,transect_6,transect_6E,EG,"native
perennial",0,62,3,1,0.01
2016,NA,transect,transect_6,transect_6E,SP,"native
perennial",0,63,1,1,0.01
2016,NA,transect,transect_6,transect_6E,SP,"native
perennial",0,63,2,1,0.001
2016,NA,transect,transect_6,transect_6E,SP,"native
perennial",0,63,3,1,0.01
2016,NA,transect,transect_6,transect_6E,SP,"native
perennial",0,64,1,1,0.01
2016,NA,transect,transect_6,transect_6E,SP,"native
perennial",0,64,2,1,0.01
2016,NA,transect,transect_6,transect_6E,SP,"native
perennial",0,64,3,1,0.001
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,65,1,1,0.05
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,65,2,1,0.05
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,65,3,1,0.001
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,66,1,1,0.01
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,66,2,1,0.01
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,66,3,1,0.01
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,67,1,1,0.001
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,67,2,1,0.01
2016,NA,transect,transect_8,transect_8A,EG,"native
perennial",0,67,3,0,0
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,68,1,1,0.01
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,68,2,1,0.05
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,68,3,0,0
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,69,1,0,0
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,69,2,0,0
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,69,3,1,0.001
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,70,1,0,0
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,70,2,0,0
2016,NA,transect,transect_8,transect_8A,SP,"native
perennial",0,70,3,1,0.001
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,71,1,1,0.001
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,71,2,1,0.01
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,71,3,1,0.01
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,72,1,1,0.05
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,72,2,1,0.001
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,72,3,1,0.001
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,73,1,1,0.001
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,73,2,1,0.001
2016,NA,transect,transect_8,transect_8C,EG,"native
perennial",0,73,3,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,74,1,1,0.01
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,74,2,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,74,3,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,75,1,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,75,2,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,75,3,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,76,1,1,0.01
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,76,2,1,0.001
2016,NA,transect,transect_8,transect_8C,SP,"native
perennial",0,76,3,1,0.001
2016,NA,transect,transect_8,transect_8E,AB,"non-native
annual",1,77,1,1,0.001
2016,NA,transect,transect_8,transect_8E,AB,"non-native
annual",1,77,2,0,0
2016,NA,transect,transect_8,transect_8E,AB,"non-native
annual",1,78,1,1,0.01
2016,NA,transect,transect_8,transect_8E,EG,"native
perennial",0,79,1,0,0
2016,NA,transect,transect_8,transect_8E,EG,"native
perennial",0,79,2,1,0.01
2016,NA,transect,transect_8,transect_8E,EG,"native
perennial",0,79,3,1,0.001
2016,NA,transect,transect_8,transect_8E,SP,"native
perennial",0,80,1,1,0.01
2016,NA,transect,transect_8,transect_8E,SP,"native
perennial",0,80,2,1,0.01
2016,NA,transect,transect_8,transect_8E,SP,"native
perennial",0,80,3,1,0.01
