year,month,experiment,plot,subplot,host,grass.group,nonnative,plant,leaf,infected,surface
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,1,0,0
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,2,0,0
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,3,0,0
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,4,1,0.001
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,1,0,0
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,2,0,0
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,1,1,0.001
2015,April,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,2,0,0
2015,April,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,1,0,0
2015,April,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,2,0,0
2015,April,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,3,1,0.1
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,5,1,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,5,2,1,0.001
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,5,3,0,0
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,5,4,1,0.001
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,5,5,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,5,6,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,6,1,1,0.05
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,6,2,1,0.05
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,6,3,1,0.001
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,6,4,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,6,5,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,6,6,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,7,1,1,0.1
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,7,2,0,0
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,7,3,0,0
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,7,4,1,0.001
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,7,5,1,0.01
2015,April,transect,transect_1,transect_1A,SP,"native
perennial",0,7,6,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,8,1,1,0.001
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,8,2,1,0.001
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,8,3,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,8,4,1,0.01
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,8,5,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,8,6,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,9,1,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,9,2,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,9,3,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,9,4,0,0
2015,April,transect,transect_1,transect_1C,AB,"non-native
annual",1,10,1,0,0
