year,month,experiment,plot,subplot,host,grass.group,nonnative,plant,leaf,infected,surface
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,1,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,2,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,3,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,4,1,0.001
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,5,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,6,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,1,1,0.001
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,2,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,3,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,1,1,0.001
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,2,1,0.05
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,3,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,4,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,5,0,0
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,6,1,0.05
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,1,1,0.001
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,2,1,0.001
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,3,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,4,1,0.01
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,4,5,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,5,1,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,5,2,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,5,3,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,6,1,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,6,2,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,6,3,0,0
2015,March,transect,transect_1,transect_1A,BH,"non-native
annual",1,6,4,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,7,1,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,7,2,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,7,3,1,0.05
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,7,4,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,7,5,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,7,6,1,0.05
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,8,1,1,0.01
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,8,2,1,0.01
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,8,3,1,0.01
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,8,4,1,0.05
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,8,5,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,8,6,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,9,1,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,9,2,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,9,3,1,0.01
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,9,4,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,9,5,0,0
2015,March,transect,transect_1,transect_1A,SP,"native
perennial",0,9,6,1,0.05
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,10,1,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,10,2,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,10,3,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,10,4,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,10,5,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,10,6,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,11,1,1,0.001
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,11,2,1,0.01
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,11,3,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,11,4,1,0.001
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,12,1,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,12,2,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,12,3,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,12,4,0,0
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,12,5,1,0.01
2015,March,transect,transect_1,transect_1B,AB,"non-native
annual",1,12,6,1,0.001
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,13,1,1,0.001
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,13,2,0,0
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,13,3,0,0
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,13,4,0,0
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,14,1,0,0
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,14,2,0,0
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,15,1,1,0.01
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,15,2,1,0.05
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,15,3,1,0.1
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,15,4,1,0.05
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,15,5,1,0.05
2015,March,transect,transect_1,transect_1B,BH,"non-native
annual",1,15,6,1,0.01
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,16,1,1,0.001
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,16,2,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,16,3,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,16,4,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,16,5,1,0.01
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,16,6,0,0
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,17,1,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,17,2,1,0.01
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,17,3,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,17,4,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,17,5,1,0.001
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,17,6,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,18,1,1,0.01
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,18,2,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,18,3,1,0.1
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,18,4,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,18,5,1,0.05
2015,March,transect,transect_1,transect_1B,SP,"native
perennial",0,18,6,1,0.01
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,19,1,1,0.001
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,19,2,1,0.001
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,19,3,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,19,4,1,0.001
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,19,5,1,0.05
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,19,6,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,20,1,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,20,2,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,21,1,1,0.001
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,21,2,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,21,3,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,21,4,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,21,5,0,0
2015,March,transect,transect_1,transect_1C,AB,"non-native
annual",1,21,6,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,22,1,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,22,2,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,22,3,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,23,1,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,23,2,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,23,3,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,23,4,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,23,5,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,23,6,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,24,1,1,0.001
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,24,2,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,24,3,0,0
2015,March,transect,transect_1,transect_1C,BH,"non-native
annual",1,24,4,0,0
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,25,1,1,0.001
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,25,2,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,25,3,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,25,4,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,25,5,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,25,6,1,0.05
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,26,1,1,0.001
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,26,2,1,0.001
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,26,3,1,0.25
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,26,4,1,0.25
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,26,5,0,0
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,26,6,1,0.05
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,27,1,1,0.001
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,27,2,0,0
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,27,3,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,27,4,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,27,5,1,0.01
2015,March,transect,transect_1,transect_1C,SP,"native
perennial",0,27,6,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,28,1,1,0.001
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,28,2,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,28,3,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,28,4,1,0.01
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,29,1,1,0.05
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,29,2,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,29,3,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,29,4,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,30,1,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,30,2,0,0
2015,March,transect,transect_1,transect_1D,AB,"non-native
annual",1,30,3,0,0
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,31,1,0,0
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,31,2,1,0.01
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,31,3,1,0.001
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,32,1,1,0.001
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,32,2,0,0
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,32,3,1,0.001
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,32,4,0,0
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,32,5,0,0
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,33,1,1,0.01
2015,March,transect,transect_1,transect_1D,BD,"non-native
annual",1,33,2,0,0
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,34,1,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,34,2,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,34,3,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,34,4,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,34,5,0,0
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,34,6,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,35,1,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,35,2,0,0
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,35,3,1,0.05
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,35,4,0,0
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,35,5,1,0.05
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,35,6,1,0.001
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,36,1,1,0.01
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,36,2,0,0
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,36,3,1,0.25
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,36,4,1,0.05
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,36,5,1,0.1
2015,March,transect,transect_1,transect_1D,SP,"native
perennial",0,36,6,1,0.001
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,37,1,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,37,2,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,37,3,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,37,4,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,37,5,1,0.01
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,37,6,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,38,1,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,38,2,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,38,3,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,39,1,1,0.01
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,39,2,0,0
2015,March,transect,transect_1,transect_1E,AB,"non-native
annual",1,39,3,0,0
2015,March,transect,transect_1,transect_1E,BH,"non-native
annual",1,40,1,0,0
2015,March,transect,transect_1,transect_1E,BH,"non-native
annual",1,40,2,0,0
2015,March,transect,transect_1,transect_1E,BH,"non-native
annual",1,40,3,0,0
2015,March,transect,transect_1,transect_1E,BH,"non-native
annual",1,40,4,0,0
2015,March,transect,transect_1,transect_1E,BH,"non-native
annual",1,40,5,0,0
2015,March,transect,transect_1,transect_1E,BH,"non-native
annual",1,41,1,0,0
